,Unnamed: 0,business_id,name,address,postal_code,latitude,longitude,stars,review_count,attributes,categories,hours,business_url,dish_name,dish_cuisine,dish_description,presented_count,left_swipes,right_swipes,user_rating,user_purchase,number_purchased,num_favorited,type_purchases,favorites
10,22,mW4zQv4EMCWvBm-w2DDsmw,Taco-Miendo,2015 W Parmer Ln,78727,30.415048,-97.6956507,5.0,48,"{'BikeParking': 'True', 'Alcohol': ""u'none'"", 'HasTV': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'False', 'RestaurantsGoodForGroups': 'False', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'GoodForKids': 'True', 'OutdoorSeating': 'None', 'RestaurantsTakeOut': 'None', 'RestaurantsAttire': ""u'casual'"", 'Ambience': 'None', 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'False'}","Tacos, Mexican, Restaurants","{'Monday': '6:0-17:0', 'Tuesday': '6:0-17:0', 'Wednesday': '6:0-17:0', 'Thursday': '6:0-17:0', 'Friday': '6:0-17:0', 'Saturday': '6:0-17:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,537,508,29,0.0,1,11,6,[],[]
11,25,tmvswVDr4n56EjWq_RptBA,Gusto Italian Kitchen & Wine Bar,4800 Burnet Rd,78756,30.3183136593,-97.7399416283,4.0,396,"{'BikeParking': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'HasTV': 'False', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsBitcoin': 'False', 'OutdoorSeating': 'True', 'WheelchairAccessible': 'True', 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'DogsAllowed': 'True', 'HappyHour': 'True', 'NoiseLevel': ""u'average'"", 'ByAppointmentOnly': 'False', 'Smoking': ""u'no'"", 'RestaurantsTableService': 'True', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'Caters': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","Wine Bars, Nightlife, Restaurants, Event Planning & Services, Caterers, Italian, Bars","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-22:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,226,147,79,0.0,1,8,20,[],[]
12,26,uc6rLEvqPFTEBWxlWzgrzg,Brodie Food Mart,7612 Brodie Ln,78745,30.2068622,-97.8353505,4.0,9,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}","Convenience Stores, Automotive, Gas Stations, Food",,,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,184,111,73,0.0,1,22,27,[],[]
13,28,2SbmgX5eHK4EMaIJmO1qbw,Song La,411 W 23rd St,78705,30.2861986,-97.7425615,4.5,136,"{'BikeParking': 'True', 'RestaurantsReservations': 'False', 'Caters': 'False', 'RestaurantsGoodForGroups': 'True', 'DogsAllowed': 'True', 'GoodForKids': 'True', 'WheelchairAccessible': 'False', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': True, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTableService': 'False', 'RestaurantsPriceRange2': '1', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'Corkage': 'False', 'WiFi': ""u'free'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BYOB': 'False', 'OutdoorSeating': 'False'}","Restaurants, Food Trucks, Caterers, Taiwanese, Asian Fusion, Event Planning & Services, Food","{'Monday': '0:0-0:0', 'Thursday': '11:0-15:0', 'Friday': '11:0-15:0', 'Saturday': '11:0-15:0', 'Sunday': '11:0-15:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,80,40,40,0.0,1,22,4,[],[]
14,29,4THc7ojs6ppNHKhLl74www,Rice Bowl Cafe,"11220 N Lamar Blvd, Ste C 306",78753,30.382482,-97.688518,4.0,662,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'WiFi': ""u'free'"", 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'HasTV': 'False', 'BikeParking': 'False', 'HappyHour': 'False', 'DogsAllowed': 'False', 'RestaurantsTableService': 'False', 'OutdoorSeating': 'None'}","Chinese, Soup, Restaurants, Taiwanese, Sushi Bars","{'Monday': '16:30-21:30', 'Tuesday': '16:30-21:30', 'Wednesday': '16:30-21:30', 'Thursday': '16:30-21:30', 'Friday': '16:30-21:30', 'Saturday': '11:30-21:30', 'Sunday': '11:0-21:30'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,956,706,250,0.0,0,0,100,[],[]
15,30,DSEsFWzM3UCq54E2X0P9Zg,Mangieri's Pizza Cafe,5900 W Slaughter Ln,78749,30.2013359078,-97.8789947359,4.0,237,"{'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'HappyHour': 'True'}","Restaurants, Pizza, Italian","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:30-21:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,713,117,596,0.0,1,327,65,[],[]
16,31,4XLSNVJcveUz2P8cck9OZA,Tacos Durango,11900 Metric Blvd,78758,30.3998349099,-97.704408969,4.0,48,"{'Caters': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""'quiet'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'Alcohol': ""'none'"", 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'WiFi': ""'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'RestaurantsTableService': 'False', 'OutdoorSeating': 'False', 'BYOB': 'False'}","Mexican, Breakfast & Brunch, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '5:0-15:0', 'Wednesday': '5:0-15:0', 'Thursday': '5:0-15:0', 'Friday': '7:0-14:0', 'Saturday': '6:0-15:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,161,29,132,0.0,1,104,50,[],[]
17,32,MYmjlLFFhlybZF5mU17Cjw,Osio,2901 S Capital Of Texas Hwy,78746,30.2574765541,-97.8075747663,4.0,87,"{'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'Caters': 'False', 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'quiet'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True', 'GoodForKids': 'True', 'WiFi': ""'no'""}","Bubble Tea, Sushi Bars, Restaurants, Food, Korean, Japanese","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '12:0-18:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,257,198,59,0.0,1,32,19,[],[]
18,34,cmFvz2m5NIyq9PAo4-qCGA,1776 Cheesesteak,1505 Town Creek Dr,78741,30.2416861,-97.7268397,4.0,106,"{'Alcohol': ""u'full_bar'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True', 'GoodForKids': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'WiFi': ""'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'True', 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': False, 'divey': True, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'RestaurantsTableService': 'False'}","Cheesesteaks, Sandwiches, Restaurants, Food, American (Traditional), Desserts","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,535,15,520,0.0,1,67,145,[],[]
19,35,wnW0uvpJyLRPc_BIO3vuHw,Raising Cane's,2109 E Riverside Dr,78741,30.2395641,-97.726967,3.5,64,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'False', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': ""'no'"", 'Alcohol': ""u'none'"", 'DriveThru': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'Caters': 'True', 'Ambience': 'None', 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'GoodForMeal': 'None', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True'}","Fast Food, Restaurants, Sandwiches, Chicken Wings","{'Monday': '10:0-1:0', 'Tuesday': '10:0-1:0', 'Wednesday': '10:0-1:0', 'Thursday': '10:0-3:30', 'Friday': '10:0-3:30', 'Saturday': '10:0-3:30', 'Sunday': '10:0-1:0'}",,This is a sample Go Dish name.,Sample Go Dish cuisine.,Sample Go Dish description,79,49,30,0.0,1,1,5,[],[]
